name,domain,year founded,industry
fao,fao.org,1945,international affairs
agility,agility.com,1979,logistics and supply chain
walgreens boots alliance,walgreensbootsalliance.com,2014,pharmaceuticals
qbe insurance,qbe.com,1886,insurance
tivit,tivit.com.br,,information technology and services
primary school,primaryschool.com.au,,internet
unsw,unsw.edu.au,1949,higher education
hcl technologies (infrastructure services division),hclisd.com,1993,information technology and services
novant health,novanthealth.org,1997,hospital & health care
kent state university,kent.edu,1910,higher education
petroleum development oman,pdo.co.om,1937,oil & energy
state of tennessee,tn.gov,,government administration
united rentals,unitedrentals.com,1997,construction
american electric power,aep.com,1906,utilities
exercito brasileiro,exercito.gov.br,,information technology and services
wayne state university,wayne.edu,1868,higher education
baltimore county public schools,bcps.org,,primary/secondary education
phillips 66,phillips66.com,2012,oil & energy
pt.pertamina (persero),pertamina.com,1957,oil & energy
lululemon athletica,lululemon.com,1998,retail
long & foster companies,longandfoster.com,1968,real estate
law firm,gokhancandogan.av.tr,,law practice
clemson university,clemson.edu,1889,higher education
mindshare,mindshareworld.com,1997,marketing and advertising
university of colorado boulder,,,higher education
axa en france,axa.fr,,insurance
university of pretoria,up.ac.za,1908,higher education
oklahoma state university,okstate.edu,,higher education
unum,unum.com,1848,insurance
acs,,,information technology and services
saudi arabian airlines,saudiairlines.com,1945,airlines/aviation
maybank,maybank.com,1960,banking
ochsner health system,ochsner.org,1942,hospital & health care
compucom,compucom.com,1987,information technology and services
emerson network power,emersonnetworkpower.com,,electrical/electronic manufacturing
navy federal credit union,navyfederal.org,1933,financial services
hsbc private bank,hsbcprivatebank.com,1999,financial services
stanford health care,stanfordhealthcare.org,1885,hospital & health care
university of north texas,unt.edu,1890,higher education
beth israel deaconess medical center,bidmc.org,,hospital & health care
sağlık bakanlığı-turkish ministry of health,iegm.gov.tr,1961,government administration
servier,servier.com,1954,pharmaceuticals
ghd,ghd.com,1928,civil engineering
ntpc,ntpc.co.in,1975,utilities
university of notre dame,nd.edu,,higher education
university of johannesburg,uj.ac.za,2005,higher education
polska akademia rachunkowości,dyrektor-finansowy.pl,,professional training & coaching
chili's,chilis.com,1975,restaurants
orbital atk,orbitalatk.com,2015,defense & space
subsea 7,subsea7.com,2002,oil & energy
fmc technologies,fmctechnologies.com,2001,oil & energy
siemens gamesa,siemensgamesa.com,1976,renewables & environment
alten,alten.fr,1988,information technology and services
robert bosch engineering and business solutions ltd.,bosch-india-software.com,1998,information technology and services
toshiba,toshiba.com,1875,consumer electronics
china unicom,chinaunicom.com.cn,,telecommunications
chick-fil-a,chick-fil-a.com,1946,restaurants
givaudan,givaudan.com,1895,chemicals
b&q,diy.com,1969,retail
university of iowa,uiowa.edu,1847,higher education
bayer materialscience,covestro.com,2004,chemicals
yandex,yandex.com,2000,internet
belk,belk.com,1888,retail
gucci,gucci.com,1921,luxury goods & jewelry
douglas elliman real estate,elliman.com,1911,real estate
cathay pacific airways,cathaypacific.com,,airlines/aviation
privé,prive.com,2010,apparel & fashion
clariant,clariant.com,1995,chemicals
bajaj allianz general insurance co. ltd.,bajajallianz.com,2001,insurance
aurecon,aurecongroup.com,2009,management consulting
u.s. house of representatives,house.gov,,legislative office
isagenix,isagenix.com,2002,"health, wellness and fitness"
texas tech university,ttu.edu,,higher education
gemeente amsterdam,amsterdam.nl,,government administration
kansas state university,k-state.edu,1863,higher education
nestlé nespresso,nespresso.com,1986,food & beverages
ministero dell'interno,interno.gov.it,,government administration
university of michigan health system,uofmhealth.org,1869,hospital & health care
sanlam,sanlam.co.za,1918,financial services
mckinsey & company,,,management consulting
university of connecticut,uconn.edu,,higher education
saudi electricity company,se.com.sa,2000,utilities
non,adaptiveignition.com,2012,marketing and advertising
inova health system,inova.org,,hospital & health care
united overseas bank limited (uob),uobgroup.com,1935,banking
national university of singapore,nus.edu.sg,1905,higher education
københavns kommune,kk.dk,,government administration
yapı kredi,yapikredi.com.tr,1944,banking
umc utrecht,umcutrecht.nl,,hospital & health care
farmacia,cofm.es,1898,"health, wellness and fitness"
university of delaware,udel.edu,,higher education
net serviços de comunicação s/a,,,telecommunications
burberry,burberrycareers.com,1856,luxury goods & jewelry
government of india,svpnpa.gov.in,,law enforcement
latam airlines,latam.com,2012,airlines/aviation
secretaria de estado da educação - see,lagaronnetp.org,,primary/secondary education
quad/graphics,qg.com,1971,printing
rsa,rsagroup.com,,insurance
ivy tech community college,ivytech.edu,1967,higher education
conagra foods,conagrabrands.com,1919,food production
jumeirah group / jumeirah hotels & resorts,jumeirah.com,1997,hospitality
eastman chemical company,eastman.com,1920,chemicals
cdk global,cdkglobal.com,1972,computer software
save the children international,savethechildren.net,,non-profit organization management
aarhus university,au.dk,1928,research
alfa laval,alfalaval.com,1883,mechanical or industrial engineering
washington state university,wsu.edu,1890,higher education
balfour beatty plc,balfourbeatty.com,1909,construction
sunrise senior living,sunriseseniorliving.com,1981,hospital & health care
hr&rec,,,staffing and recruiting
european parliament,,,political organization
university of birmingham,birmingham.ac.uk,1900,higher education
rush university medical center,rush.edu,1837,hospital & health care
abnamro bank (china) co.ltd,,,banking
emory healthcare,wesleywoodsinc.org,,hospital & health care
volvo trucks,volvotrucks.com,1928,automotive
tj maxx,,,retail
palawan biodiesel development corporation,,,renewables & environment
uchealth,uchealth.org,1921,hospital & health care
griffith university,griffith.edu.au,1975,higher education
mary kay idependent consultant,,,cosmetics
toronto district school board,tdsb.on.ca,,primary/secondary education
volvo group,volvogroup.com,1927,transportation/trucking/railroad
jet airways,jetairways.com,1993,airlines/aviation
aon hewitt,aonhewitt.com,1940,human resources
state of washington,wa.gov,1889,government administration
sars,sars.gov.za,1997,government administration
mount sinai health system,mountsinaihealth.org,2013,hospital & health care
iom,iom.int,1951,non-profit organization management
molina healthcare,molinahealthcare.com,1980,hospital & health care
entel,entel.cl,1964,telecommunications
codelco – corporación nacional del cobre de chile,codelco.com,1971,mining & metals
niit technologies limited,niit-tech.com,2004,information technology and services
chipotle mexican grill,chipotle.com,1993,restaurants
autônomo,jcbaldan.com.br,,"health, wellness and fitness"
kementerian pelajaran malaysia,moe.gov.my,,education management
asurion,asurion.com,1994,information technology and services
menards,menards.com,1960,retail
airbnb,airbnb.com,2008,internet
t. rowe price,troweprice.com,1937,investment management
sandia national laboratories,sandia.gov,1945,defense & space
college,bellevuecollege.edu,,animation
ohio university,ohio.edu,1804,higher education
senac,senac.br,1946,higher education
ptcl,ptcl.com.pk,1949,telecommunications
media markt,mediamarkt.com,1979,retail
contax,liq.com.br,2000,information technology and services
healthsouth,healthsouth.com,,hospital & health care
anhanguera educacional s.a.,anhanguera.com,1994,education management
coca-cola amatil,cokecareers.com.au,,food & beverages
coach,coach.com,1941,retail
india infoline ltd,indiainfoline.com,1995,financial services
equinox,equinox.com,1991,"health, wellness and fitness"
sfr,numericable-sfr.com,2014,telecommunications
usana health sciences,usana.com,1992,"health, wellness and fitness"
mcafee,mcafee.com,1987,computer & network security
hella,hella.com,1899,automotive
akbank,akbank.com,,banking
freescale semiconductor,freescale.com,2004,semiconductors
ally financial inc.,ally.com,1919,financial services
netflix,netflix.com,1997,entertainment
ministry of finance,nrw.de,,government administration
kerry,kerry.com,1972,food production
tech data,techdata.com,1974,information technology and services
syracuse university,syr.edu,1870,higher education
sc johnson,scjohnson.com,,consumer goods
freddie mac,freddiemac.com,1970,financial services
itc limited,itcportal.com,1910,consumer goods
tsinghua university,tsinghua.edu.cn,1911,higher education
insight,insight.com,1988,information technology and services
tupperware brands,tupperwarebrands.com,1946,consumer goods
thyssenkrupp elevator,thyssenkruppelevator.com,,machinery
ministero della giustizia,,,government administration
the wendy's company,wendys.com,1969,restaurants
princeton university,princeton.edu,,higher education
los alamos national laboratory,lanl.gov,1943,research
sbb cff ffs,sbb.ch,1902,transportation/trucking/railroad
the university of auckland,auckland.ac.nz,,higher education
fedex office,,1971,printing
george mason university,gmu.edu,1972,higher education
burns & mcdonnell,burnsmcd.com,1898,civil engineering
technicolor,technicolor.com,1915,entertainment
banco de chile,bancochile.cl,1893,banking
nanyang technological university,ntu.edu.sg,,higher education
u.s. department of the treasury,treasury.gov,1789,government administration
dnb,dnb.no,1822,financial services
visteon corporation,visteon.com,2000,automotive
the co-operative group,coop.co.uk,1844,retail
university medical center groningen,umcg.nl,,hospital & health care
case western reserve university,case.edu,1826,higher education
texas children's hospital,texaschildrens.org,1954,hospital & health care
amec,,1982,oil & energy
sony pictures entertainment,sonypictures.com,,entertainment
under armour,underarmour.com,1996,apparel & fashion
softtek,softtek.com,1982,information technology and services
apollo hospitals,apollohospitals.com,1983,hospital & health care
jeunesse global,jeunesseglobal.com,2009,"health, wellness and fitness"
savills,savills.com,1855,real estate
kpmg india,,,management consulting
york university,yorku.ca,1959,higher education
autônomo,psadv.com.br,,legal services
state of illinois,illinois.gov,,government administration
saks fifth avenue,saks.com,1924,retail
region skåne,skane.se,,hospital & health care
acciona,acciona.com,1861,renewables & environment
sabre corporation,sabre.com,1960,information technology and services
dte energy,dteenergy.com,,utilities
ntnu,ntnu.no,1910,higher education
anglogold ashanti,anglogoldashanti.com,1998,mining & metals
td ameritrade,tdameritrade.com,1975,financial services
michael kors,michaelkors.com,1981,apparel & fashion
fiverr (fiverr.com),fiverr.com,2010,internet
university of cape town,uct.ac.za,1829,higher education
deloitte australia,deloitte.com.au,,management consulting
lonza,lonza.com,1897,biotechnology
afpa,afpa.fr,1966,professional training & coaching
praxair,praxair.com,1907,chemicals
sobeys,sobeyscareers.com,1907,retail
nsw health,,,hospital & health care
john lewis,johnlewispartnership.co.uk,1864,retail
abm industries,abm.com,1909,facilities services
twitter,twitter.com,2006,internet
u.s. army network enterprise technology command,osd.mil,1995,military
ul,ul.com,1894,public safety
cae,cae.com,1947,aviation & aerospace
universidade paulista,unip.br,1988,higher education
dar al-handasah (shair and partners),dargroup.com,1956,design
ministry of health saudi arabia,moh.gov.sa,1915,government administration
porto seguro,portoseguro.com.br,1945,insurance
community health systems,chs.net,1985,hospital & health care
csx,csx.com,1980,transportation/trucking/railroad
arbetsförmedlingen,arbetsformedlingen.se,,government administration
brown university,brown.edu,,higher education
wellstar health system,wellstar.org,1997,hospital & health care
akamai technologies,akamai.com,1998,internet
bunge,bunge.com,1818,food production
jumbo supermarkten,jumbo.com,,retail
astellas pharma,astellas.us,2005,pharmaceuticals
celestica,celestica.com,1994,electrical/electronic manufacturing
telia company,teliacompany.com,1853,telecommunications
bright horizons,brighthorizons.com,1986,education management
hy-vee,hy-vee.com,1930,supermarkets
safran aircraft engines,safran-aircraft-engines.com,,aviation & aerospace
indiana university health,iuhealthbloomington.org,1997,hospital & health care
"burlington stores, inc.",burlingtonstores.com,1972,retail
godrej & boyce mfg. co. ltd.,godrejandboyce.com,1897,consumer goods
ejercito nacional de colombia,ejercito.mil.co,,security and investigations
blackberry,blackberry.com,1984,telecommunications
aircel,aircel.com,1999,telecommunications
austin independent school district,austinisd.org,,primary/secondary education
consulting&coaching,thetrainingbox.eu.com,,management consulting
denver public schools,dpsk12.org,1902,primary/secondary education
federal-mogul,federalmogul.com,1899,automotive
construction industry,construction-eg.com,,construction
sony music entertainment,sonymusic.com,1888,music
university of amsterdam,uva.nl,,research
federal government,firstnorfolk.org,,information technology and services
niit limited,niit.com,1981,education management
gensler,gensler.com,1965,architecture & planning
virginia commonwealth university,vcu.edu,1838,higher education
british gas,britishgas.co.uk,1997,oil & energy
hyatt regency,,,hospitality
iag,iag.com.au,,insurance
liberty group south africa,liberty.co.za,1956,insurance
emirates nbd,emiratesnbd.com,1963,banking
louisiana state university,lsu.edu,1860,higher education
the university of alabama,ua.edu,1831,higher education
meb li̇se öğretmenleri̇,gokhandemir.com,2002,e-learning
university of helsinki,helsinki.fi,,research
propia,m8j.es,2009,architecture & planning
bii,bii.co.id,1959,banking
cmc ltd,cmcltd.com,1975,information technology and services
international committee of the red cross - icrc,icrc.org,1863,non-profit organization management
"xpo logistics, inc.",xpo.com,2011,logistics and supply chain
ministerio de educación del perú - minedu,minedu.gob.pe,,education management
igt,igt.com,1974,computer software
tenaris,tenaris.com,2002,oil & energy
deakin university,deakin.edu.au,1974,higher education
depuy synthes companies,depuysynthes.com,,medical devices
georgetown university,georgetown.edu,,higher education
karolinska institutet,ki.se,1810,higher education
ocbc bank,ocbc.com,1932,banking
tcs e-serve international ltd.,,1993,outsourcing/offshoring
alorica,alorica.com,1999,outsourcing/offshoring
hub international,hubinternational.com,1998,insurance
express,express.com,1980,retail
itt technical institute,itt-tech.edu,1946,higher education
henry schein,henryschein.com,1932,medical devices
united technologies,,1934,aviation & aerospace
sony electronics,sonyjobs.com,1945,consumer electronics
"j.b. hunt transport, inc.",jbhunt.com,1961,transportation/trucking/railroad
max life insurance company limited,maxlifeinsurance.com,2000,insurance
s.f. express co. ltd,sf-express.com,1993,logistics and supply chain
flight centre,flightcentre.com.au,1981,"leisure, travel & tourism"
aafes,shopmyexchange.com,1895,retail
discovery limited,discovery.co.za,1992,financial services
embratel,embratel.com.br,1965,telecommunications
mutual of omaha,mutualofomaha.com,1909,insurance
shaw industries,shawfloors.com,,textiles
peel district school board,peelschools.org,,primary/secondary education
banco sabadell,grupobancosabadell.com,1881,banking
state of florida,,,government administration
itc infotech,itcinfotech.com,2000,information technology and services
indeed.com,indeed.com,2004,internet
mary kay inc.,,,cosmetics
neiman marcus,neimanmarcus.com,1907,retail
ministerie van veiligheid en justitie,rijksoverheid.nl,,government administration
grundfos,grundfos.com,1945,mechanical or industrial engineering
polaris financial technology limited,polarisft.com,1993,information technology and services
bosch rexroth,boschrexroth.com,,industrial automation
teletech,ttec.nl,1995,computer hardware
milli eğitim,ibu.edu.tr,,food & beverages
mitre,mitre.org,1958,information technology and services
university of nebraska–lincoln,unl.edu,1869,higher education
orlando health,orlandohealth.com,1918,hospital & health care
stockholms stad,stockholm.se,,government administration
fresenius kabi,fresenius-kabi.com,1999,pharmaceuticals
baptist health south florida,baptisthealth.net,,hospital & health care
ee,ee.co.uk,2012,telecommunications
"mattel, inc.",mattel.com,1945,consumer goods
steel authority of india limited,sail.co.in,,mining & metals
starcom,starcomww.com,,marketing and advertising
queensland university of technology,qut.edu.au,1989,higher education
antel,antel.com.uy,1974,telecommunications
nestlé purina north america,nestlepurinacareers.com,1894,consumer goods
nuance communications,nuance.com,1992,computer software
university of utah,utah.edu,,higher education
ugl,,2009,public policy
garanti bank,garanti.com.tr,1946,banking
miami university,miamioh.edu,1809,higher education
bmc software,bmc.com,1980,information technology and services
mediacom,mediacom.com,1988,marketing and advertising
nypd,,,law enforcement
utmb,utmb.edu,1891,hospital & health care
princess cruises,princess.com,1965,"leisure, travel & tourism"
uhs,uhsinc.com,1978,hospital & health care
stony brook university,stonybrook.edu,1957,higher education
auburn university,auburn.edu,1856,higher education
university of barcelona,ub.edu,,research
universidade estadual de campinas,unicamp.br,,research
b/e aerospace,beaerospace.com,1987,aviation & aerospace
discovery communications,discovery.com,1985,entertainment
sasktel.net,sasktel.net,,education management
profesional independiente,estudiobacaicoa.com.ar,2004,accounting
generali italia s.p.a.,generali.it,,insurance
acosta sales & marketing,acosta.com,1927,consumer goods
bnp paribas cardif,bnpparibascardif.com,1973,insurance
tenet healthcare,tenethealth.com,,hospital & health care
university of bristol,bristol.ac.uk,,higher education
industrial and commercial bank of china,icbc.com.cn,1984,banking
drexel university,drexel.edu,1891,higher education
tiffany & co.,tiffany.com,1837,luxury goods & jewelry
fraser health authority,fraserhealth.ca,2001,hospital & health care
public sector,,,government administration
hospira,hospira.com,2004,pharmaceuticals
telcel,telcel.com,,telecommunications
none - in transitional stage!,nicolas-forestier.fr,,import and export
other,oceantechnology.co.kr,,information technology and services
ibm canada,,1911,information technology and services
personal,,,information technology and services
lpl financial,lpl.com,1989,financial services
investors group,investorsgroup.com,,financial services
university of sheffield,sheffield.ac.uk,1905,higher education
eastman kodak,kodak.com,1892,printing
psav,psav.com,1937,events services
tata technologies,tatatechnologies.com,1989,information technology and services
exército brasileiro,,1822,military
western university,westernu.ca,1878,higher education
blue cross blue shield of michigan,bcbsm.com,,insurance
beiersdorf,beiersdorf.com,1882,cosmetics
albert heijn,ah.nl,1887,retail
tsmc,tsmc.com,1987,semiconductors
xl catlin,xlcatlin.com,1986,insurance
broadridge,broadridge.com,1962,financial services
ninguno,mercadehoweb.com,,professional training & coaching
valero energy corporation,valero.com,1980,oil & energy
education queensland,dete.qld.gov.au,,government administration
university of waterloo,,,higher education
swarovski,swarovskigroup.com,1895,luxury goods & jewelry
darden,darden.com,,restaurants
edelman,edelman.com,1952,public relations and communications
u.s. army reserve,,,military
andritz,andritz.com,1852,machinery
glg (gerson lehrman group),glg.it,1998,information services
hospital & healthcare brazil,hhealth.com.br,2010,management consulting
ufrj,ufrj.br,1920,higher education
bose corporation,bose.com,1964,consumer electronics
maruti suzuki india limited,marutisuzuki.com,1983,automotive
factset,factset.com,1978,computer software
airgas,airgas.com,1982,chemicals
waitrose,waitrose.com,1904,retail
transcanada,transcanada.com,1951,oil & energy
state of delaware,delaware.gov,,government administration
danfoss,danfoss.com,,mechanical or industrial engineering
university of southampton,southampton.ac.uk,,higher education
essar,essar.com,1969,oil & energy
a.p. moller - maersk,maersk.com,1904,international trade and development
indian army,indianarmyofficers.com,,defense & space
next group plc,next.co.uk,1982,retail
telmex,telmex.com,1947,telecommunications
oficina privada,,,law practice
state of indiana,in.gov,1816,government relations
private company,privatecompany.com,2014,design
ssm health care,ssmhc.com,,hospital & health care
telkomsel,telkomsel.com,1995,telecommunications
micro focus,microfocus.com,1976,computer software
"university of rome ""la sapienza""",uniroma1.it,,research
geen meer,ouwwoensel.nl,,online media
sicredi,sicredi.com.br,1902,financial services
fairview health services,fairview.org,1906,hospital & health care
windstream communications,windstreamenterprise.com,2006,telecommunications
amcor,amcor.com,1864,packaging and containers
the pampered chef,pamperedchef.com,1980,consumer goods
j. walter thompson worldwide,jwt.com,1864,marketing and advertising
owens corning,owenscorning.com,1938,building materials
edwards lifesciences,edwards.com,1958,medical devices
westrock company,westrock.com,2015,packaging and containers
policia militar,sc.gov.br,,public safety
sony mobile communications,sonymobile.com,2001,telecommunications
arm,arm.com,1990,semiconductors
diversey inc,diversey.com,1952,chemicals
servicenow,servicenow.com,2004,computer software
achmea,achmea.nl,1811,insurance
air india,,1985,airlines/aviation
sealed air corporation,,1960,packaging and containers
cobb county schools,cobbk12.org,,primary/secondary education
l brands,,1963,retail
steelcase,steelcase.com,1912,furniture
lam research,lamresearch.com,1980,semiconductors
navistar inc,navistar.com,1902,transportation/trucking/railroad
leo burnett,leoburnett.com,1935,marketing and advertising
bearingpoint,bearingpoint.com,2002,management consulting
fearless fly,,,marketing and advertising
yokogawa,yokogawa.com,1915,industrial automation
crossmark,crossmark.com,1905,consumer goods
bharat petroleum corporation limited,bharatpetroleum.in,,oil & energy
korn ferry,kornferry.com,1969,management consulting
kinder morgan,kindermorgan.com,1997,oil & energy
globant,globant.com,2003,information technology and services
puma,puma.com,1948,apparel & fashion
pt pln (persero),pln.co.id,1961,utilities
laing o'rourke,laingorourke.com,1978,construction
saudi oger ltd.,saudioger.com,1978,construction
christus health,christushealth.org,1999,hospital & health care
millercoors,millercoors.com,2008,food & beverages
equifax,equifax.com,1899,financial services
epsilon,epsilon.com,1969,marketing and advertising
mobilink,mobilinkgsm.com,1994,telecommunications
university of massachusetts amherst,umass.edu,1863,higher education
younique products,youniqueproducts.com,2012,consumer goods
the cheesecake factory,thecheesecakefactory.com,1978,restaurants
educational testing service (ets),ets.org,1947,education management
wolters kluwer,wolterskluwer.com,1836,information services
tenneco,tenneco.com,1888,automotive
university of tehran,ut.ac.ir,1934,higher education
sca - hygiene and forest products company,sca.com,1929,consumer goods
san diego unified school district,sandi.net,1854,education management
private family,pspb.org.br,,hospitality
indian air force,,,defense & space
"petco animal supplies, inc.",petco.com,1965,retail
"regeneron pharmaceuticals, inc.",regeneron.com,1988,biotechnology
braskem,braskem.com.br,2002,plastics
swedish medical center,swedish.org,1908,hospital & health care
giant eagle,gianteagle.com,1931,retail
wayfair,wayfair.com,2002,internet
mrv engenharia,mrv.com.br,1979,civil engineering
kier group,kier.co.uk,1992,construction
cardiff university,cardiff.ac.uk,1883,higher education
divan city otel,,,mechanical or industrial engineering
weill cornell medical college,,1898,higher education
department of justice and constitutional development,doj&cd.gov.za,,government administration
canadian natural resources limited (cnrl),cnrl.com,1989,oil & energy
military,mbee.ae,,hospital & health care
palm beach county school district,palmbeachschools.org,,education management
essilor,essilor.com,1972,medical devices
zoetis,zoetis.com,2013,pharmaceuticals
university of louisville,louisville.edu,,higher education
asus,asus.com,1989,computer hardware
uba group,ubagroup.com,1948,banking
food lion,foodlion.com,1957,retail
alaska airlines,alaskaair.jobs,,airlines/aviation
åf,afconsult.com,1895,mechanical or industrial engineering
cnn,cnn.com,1980,broadcast media
university of the witwatersrand,wits.ac.za,1896,higher education
free-lance,urbanstudio.it,1988,environmental services
universidad complutense de madrid,,,higher education
funny types,,,staffing and recruiting
nationwide childrens hospital,nationwidechildrens.org,1892,hospital & health care
baycare health system,baycare.org,1997,hospital & health care
sonda,sonda.com,1974,information technology and services
sweco,swecogroup.com,1889,civil engineering
pt hm sampoerna tbk,sampoerna.com,1913,tobacco
cairo university,cu.edu.eg,1908,higher education
smurfit kappa,smurfitkappa.com,2005,packaging and containers
city of houston,houstontx.gov,1836,government administration
bnl gruppo bnp paribas,bnl.it,1913,banking
local government,tenderland.ru,,government administration
harley-davidson motor company,harley-davidson.com,1903,automotive
devry university,devry.edu,,higher education
norwegian cruise line,ncl.com,1966,"leisure, travel & tourism"
"ann inc. (parent company of ann taylor, loft & lou & grey)",anninc.com,,retail
con edison,coned.com,1823,utilities
caltrans,,,civil engineering
sikorsky aircraft,sikorsky.com,1925,aviation & aerospace
ryanair,ryanair.com,1985,airlines/aviation
sharp healthcare,sharp.com,1946,hospital & health care
cer.co.sas di fabio galimberti,,,professional training & coaching
gold's gym,goldsgym.com,1965,"health, wellness and fitness"
telekomunikasi indonesia,telkom.co.id,1884,information technology and services
the city of calgary,calgary.ca,1894,government administration
"konica minolta business solutions u.s.a., inc.",konicaminolta.us,,information technology and services
virgin active,fitforvirginactive.co.uk,1999,"health, wellness and fitness"
kpmg australia,kpmg.com.au,,accounting
allied universal,aus.com,2016,security and investigations
greystar,greystar.com,1993,real estate
bajaj finserv,bajajfinserv.in,2007,financial services
ministère de la justice,justice.gouv.fr,,government administration
sapient,sapient.com,1990,information technology and services
plastic omnium,plasticomnium.com,1947,automotive
children's healthcare of atlanta,choa.org,,hospital & health care
rei,rei.com,1938,retail
boy scouts of america,scouting.org,1910,non-profit organization management
keller williams real estate,kwcharleston.com,,real estate
cadence design systems,cadence.com,1988,computer software
autonation,autonation.com,1996,automotive
seguros sura,sura.com,1944,insurance
schneider national,schneider.com,1935,transportation/trucking/railroad
santander uk,santander.co.uk,,banking
lan airlines,lan.com,,airlines/aviation
canada revenue agency,cra-arc.gc.ca,,government administration
grand canyon university,gcu.edu,1949,higher education
j.crew,jcrew.com,1983,retail
nothing,,,sports
us federal government,unimedbh.com.br,,government administration
b. braun medical,bbraunusa.com,1839,medical devices
scripps health,scripps.org,1890,hospital & health care
"medline industries, inc.",medline.com,1966,medical devices
3i infotech,3i-infotech.com,1993,information technology and services
osram,osram.com,1919,electrical/electronic manufacturing
american medical response,amr.net,1992,hospital & health care
pricewaterhousecoopers,,,accounting
marathon petroleum corporation,marathonpetroleum.com,2014,oil & energy
health canada,hc-sc.gc.ca,2010,government administration
univision communications inc.,univision.net,1962,broadcast media
curtin university,curtin.edu.au,,higher education
canara bank,canarabank.com,1906,banking
banca monte dei paschi di siena,mps.it,,banking
banfield pet hospital,banfield.com,1955,veterinary
ohiohealth,ohiohealth.com,1891,hospital & health care
duke university health system,dukemedicine.org,1925,hospital & health care
pvh corp.,pvh.com,1881,apparel & fashion
gas natural fenosa,gasnaturalfenosa.com,,oil & energy
unc health care,unchealthcare.org,1952,hospital & health care
state of new jersey,state.nj.us,,government administration
lockton companies,lockton.com,1966,insurance
elitwine,otkima.ru,2009,management consulting
state of colorado,colorado.gov,1876,government administration
international sos,internationalsos.com,1985,hospital & health care
qwest communications,,1930,telecommunications
texas roadhouse,texasroadhouse.com,1993,restaurants
e.m.sh –ngtech,,,computer & network security
newcastle university,ncl.ac.uk,,higher education
city of philadelphia,phila.gov,,government administration
pcl construction,pcl.com,1906,construction
northwestern memorial hospital,,,hospital & health care
mitie,mitie.com,1987,facilities services
university of groningen,rug.nl,,research
sami noiri photography,saminoiri.com,,photography
lionbridge,lionbridge.com,1996,translation and localization
dnata,dnata.com,1959,airlines/aviation
the university of kansas,ku.edu,1865,higher education
sonic drive-in,sonicdrivein.com,1953,restaurants
uspto,uspto.gov,,government administration
ihs markit,ihsmarkit.com,,information services
papa john's international,papajohns.com,1984,restaurants
idbi bank,idbi.com,1964,banking
kfc,kfc.com,1952,restaurants
handelsbanken,handelsbanken.com,1871,banking
raízen,raizen.com.br,2011,oil & energy
dyson,dyson.com,1993,electrical/electronic manufacturing
indiamart intermesh limited,indiamart.com,1996,internet
spar,spar.co.za,1963,retail
rochester institute of technology,rit.edu,1829,higher education
studio tike,,,marketing and advertising
at home,hunterhome.net,,religious institutions
byu-idaho,byui.edu,1888,higher education
agco corporation,agcocorp.com,1990,machinery
hugo boss,hugoboss.com,1923,apparel & fashion
hogan lovells,hoganlovells.com,1899,law practice
liverpool,liverpool.com.mx,1847,retail
gemeente rotterdam,rotterdam.nl,,government relations
hatch,hatch.ca,1955,mining & metals
lloyd's register,lr.org,,public safety
nationale-nederlanden,nn.nl,1845,financial services
san diego state university,sdsu.edu,,higher education
carrier corporation,carrier.com,,mechanical or industrial engineering
pseg,pseg.com,1903,utilities
national instruments,ni.com,1976,electrical/electronic manufacturing
otenet,,,telecommunications
dairy queen,dairyqueen.com,1940,food & beverages
home retail group plc,homeretailgroup.com,,retail
omv,omv.com,1956,oil & energy
intact,intactfc.com,2009,insurance
islamic azad university (iau)- دانشگاه آزاد اسلامی,iau.ac.ir,1982,higher education
howard hanna real estate services,howardhanna.com,1957,real estate
vf corporation,vfc.com,1899,apparel & fashion
ville de montréal,montreal.qc.ca,1833,government administration
wyndham vacation ownership,wyndhamworldwide.com,1966,hospitality
gm financial,gmfinancial.com,1992,financial services
aaryan creations,aaryancreation.com,,luxury goods & jewelry
ryerson university,ryerson.ca,,higher education
university of oklahoma,ou.edu,1890,higher education
synchrony financial,synchronyfinancial.com,,financial services
glenmark pharmaceuticals,glenmarkpharma.com,1977,pharmaceuticals
university of padova,unipd.it,,higher education
pierre fabre,pierre-fabre.com,1961,pharmaceuticals
borgwarner inc.,borgwarner.com,1928,automotive
abc news,abcnews.com,1962,broadcast media
university health network,uhn.ca,,hospital & health care
bancolombia,bancolombia.com,1875,banking
university of arkansas,uark.edu,,higher education
vrije universiteit amsterdam,vu.nl,1880,research
charles river laboratories,criver.com,1947,biotechnology
insight global,insightglobal.net,2001,staffing and recruiting
w hotels,whotels.com,1998,hospitality
weight watchers,weightwatchers.com,1963,"health, wellness and fitness"
leighton contractors,cpbcon.com.au,1949,construction
centura health,centura.org,1996,hospital & health care
qvc,qvc.com,1986,retail
grifols,grifols.com,1940,pharmaceuticals
denso,globaldenso.com,1949,automotive
biomerieux,biomerieux.com,1963,biotechnology
film industry,,,motion pictures and film
rbc wealth management,rbcwealthmanagement.com,1869,financial services
capital group,thecapitalgroup.com,1931,investment management
maxim integrated,maximintegrated.com,1983,semiconductors
lund university,lu.se,,research
university of oregon,uoregon.edu,1876,higher education
engineering ingegneria informatica spa,eng.it,1980,information technology and services
environment agency,,1996,environmental services
university of kwazulu-natal,ukzn.ac.za,,higher education
prefeitura municipal de curitiba,pr.gov.br,,public policy
